name,δ15N,δ13C,%N,%C,C/N
FS60LE,10.12,-18.09,12.05,43,3.6
FS61LE,10.79,-17.12,12.54,41.7,3.3
FS62LE,9.19,-17.36,12.41,42.86,3.5
FS63LE,8.53,-16.85,12.62,41.45,3.3
FS64LE,10.5,-18.71,10.63,43.34,4.1
FS65LE,10.64,-17.87,11.87,41.77,3.5
FS66LE,10.03,-19.18,12.02,38.54,3.2
FS67LE,8.87,-17.86,12.56,40.93,3.3
FS68LE,10.86,-18.01,11.05,35.34,3.2
FS69LE,11.47,-17.97,11.28,38.16,3.4
FS70LE,11.22,-17.81,11.46,37.09,3.2
FS56,10.1,-17.56,13.24,42.91,3.2
FS55,11.44,-18.21,12.4,40.59,3.3
FS54,9.93,-19.5,12.29,40.2,3.3
FS34,9.56,-18.29,12.86,41.94,3.3
FS53,10.33,-17.32,12.37,43.39,3.5
FS46,9.91,-18.74,11.59,42.43,3.7
FS52,11.36,-17.22,13.1,41.38,3.2
FS51,10.39,-18.89,12.06,39.48,3.3
FS49,10.89,-18.81,12.27,40.82,3.3
FS50,10.88,-18.3,11.45,45.26,4
FS48,11.06,-17.39,12.66,41.97,3.3
FS45,10.1,-17.05,12.47,40.99,3.3
FS37,9.89,-18.12,10.77,36.74,3.4
FS40,10.96,-17.94,12.07,43.68,3.6
FS41,10.07,-17.98,13.03,42.72,3.3
FS43,9.97,-19.36,12.68,40.52,3.2
FS42,9.93,-16.83,13.24,42.45,3.2
FS44,9.56,-17.76,12.94,44.99,3.5
FS47,11.34,-17.81,12.68,42.05,3.3
FS39,10.47,-17.79,12.4,43.3,3.5
FS35,10.88,-18.04,12.93,41.51,3.2
FS36,11.29,-17.4,13.04,42.47,3.3
FS38,10.71,-17.92,12.57,43.53,3.5
FS60,10.13,-17.81,12.53,42.88,3.4
FS68,9.54,-19.57,9.45,38.8,4.1
FS69,11.32,-18.1,11.76,40.23,3.4
FS70,11.01,-18.25,11.24,38.8,3.5
FS59,11.26,-17.84,12.61,42.09,3.3
FS58,9.5,-16.95,13.2,42.66,3.2
FS67,9.55,-16.28,9.02,27.99,3.1
FS65,10.83,-17.61,12.92,43,3.3
FS57,12.23,-16.88,13.33,42.38,3.2
FS66,10.11,-19.15,11.45,37.64,3.3
FS64,10.68,-17.42,12.78,42.33,3.3
FS63,8.79,-16.92,13,43.78,3.4
FS62,9.67,-17.16,12.84,44.39,3.5
FS61,11.23,-16.83,13.3,42.48,3.2
FS33,11.69,-17.12,13.04,42.22,3.2
FS18,11.24,-16.92,13.12,41.98,3.2
FS17,10.94,-17.23,13.07,41.31,3.2
FS19,9.63,-17.09,13.04,41.34,3.2
FS20,9.99,-17.95,13.13,41.94,3.2
FS25,9.29,-19.16,13.17,42.03,3.2
FS23,11.71,-19.29,12.89,44.25,3.4
FS21,9.04,-17.89,13.24,42.44,3.2
FS27,9.89,-16.58,13.15,42.32,3.2
FS31,10.38,-19.42,12.71,40.66,3.2
FS24,11.62,-17.8,12.93,42.63,3.3
FS32,9.59,-17.59,12.73,41.42,3.3
